iso,country,wb_region,income_group
ABW,Aruba,Latin America & Caribbean,High income
AFG,Afghanistan,South Asia,Low income
AGO,Angola,Sub-Saharan Africa,Lower middle income
ALB,Albania,Europe & Central Asia,Upper middle income
AND,Andorra,Europe & Central Asia,High income
ARE,United Arab Emirates,Middle East & North Africa,High income
ARG,Argentina,Latin America & Caribbean,Upper middle income
ARM,Armenia,Europe & Central Asia,Upper middle income
ASM,American Samoa,East Asia & Pacific,Upper middle income
ATG,Antigua and Barbuda,Latin America & Caribbean,High income
AUS,Australia,East Asia & Pacific,High income
AUT,Austria,Europe & Central Asia,High income
AZE,Azerbaijan,Europe & Central Asia,Upper middle income
BDI,Burundi,Sub-Saharan Africa,Low income
BEL,Belgium,Europe & Central Asia,High income
BEN,Benin,Sub-Saharan Africa,Lower middle income
BFA,Burkina Faso,Sub-Saharan Africa,Low income
BGD,Bangladesh,South Asia,Lower middle income
BGR,Bulgaria,Europe & Central Asia,Upper middle income
BHR,Bahrain,Middle East & North Africa,High income
BHS,"Bahamas, The",Latin America & Caribbean,High income
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
BLR,Belarus,Europe & Central Asia,Upper middle income
BLZ,Belize,Latin America & Caribbean,Lower middle income
BMU,Bermuda,North America,High income
BOL,Bolivia,Latin America & Caribbean,Lower middle income
BRA,Brazil,Latin America & Caribbean,Upper middle income
BRB,Barbados,Latin America & Caribbean,High income
BRN,Brunei Darussalam,East Asia & Pacific,High income
BTN,Bhutan,South Asia,Lower middle income
BWA,Botswana,Sub-Saharan Africa,Upper middle income
CAF,Central African Republic,Sub-Saharan Africa,Low income
CAN,Canada,North America,High income
CHE,Switzerland,Europe & Central Asia,High income
CHI,Channel Islands,Europe & Central Asia,High income
CHL,Chile,Latin America & Caribbean,High income
CHN,China,East Asia & Pacific,Upper middle income
CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income
CMR,Cameroon,Sub-Saharan Africa,Lower middle income
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income
COL,Colombia,Latin America & Caribbean,Upper middle income
COM,Comoros,Sub-Saharan Africa,Lower middle income
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income
CRI,Costa Rica,Latin America & Caribbean,Upper middle income
CUB,Cuba,Latin America & Caribbean,Upper middle income
CUW,Curaçao,Latin America & Caribbean,High income
CYM,Cayman Islands,Latin America & Caribbean,High income
CYP,Cyprus,Europe & Central Asia,High income
CZE,Czech Republic,Europe & Central Asia,High income
DEU,Germany,Europe & Central Asia,High income
DJI,Djibouti,Middle East & North Africa,Lower middle income
DMA,Dominica,Latin America & Caribbean,Upper middle income
DNK,Denmark,Europe & Central Asia,High income
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income
DZA,Algeria,Middle East & North Africa,Lower middle income
ECU,Ecuador,Latin America & Caribbean,Upper middle income
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income
ERI,Eritrea,Sub-Saharan Africa,Low income
ESP,Spain,Europe & Central Asia,High income
EST,Estonia,Europe & Central Asia,High income
ETH,Ethiopia,Sub-Saharan Africa,Low income
FIN,Finland,Europe & Central Asia,High income
FJI,Fiji,East Asia & Pacific,Upper middle income
FRA,France,Europe & Central Asia,High income
FRO,Faroe Islands,Europe & Central Asia,High income
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income
GAB,Gabon,Sub-Saharan Africa,Upper middle income
GBR,United Kingdom,Europe & Central Asia,High income
GEO,Georgia,Europe & Central Asia,Upper middle income
GHA,Ghana,Sub-Saharan Africa,Lower middle income
GIB,Gibraltar,Europe & Central Asia,High income
GIN,Guinea,Sub-Saharan Africa,Low income
GMB,"Gambia, The",Sub-Saharan Africa,Low income
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income
GRC,Greece,Europe & Central Asia,High income
GRD,Grenada,Latin America & Caribbean,Upper middle income
GRL,Greenland,Europe & Central Asia,High income
GTM,Guatemala,Latin America & Caribbean,Upper middle income
GUM,Guam,East Asia & Pacific,High income
GUY,Guyana,Latin America & Caribbean,Upper middle income
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income
HND,Honduras,Latin America & Caribbean,Lower middle income
HRV,Croatia,Europe & Central Asia,High income
HTI,Haiti,Latin America & Caribbean,Lower middle income
HUN,Hungary,Europe & Central Asia,High income
IDN,Indonesia,East Asia & Pacific,Lower middle income
IMN,Isle of Man,Europe & Central Asia,High income
IND,India,South Asia,Lower middle income
IRL,Ireland,Europe & Central Asia,High income
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income
IRQ,Iraq,Middle East & North Africa,Upper middle income
ISL,Iceland,Europe & Central Asia,High income
ISR,Israel,Middle East & North Africa,High income
ITA,Italy,Europe & Central Asia,High income
JAM,Jamaica,Latin America & Caribbean,Upper middle income
JOR,Jordan,Middle East & North Africa,Upper middle income
JPN,Japan,East Asia & Pacific,High income
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income
KEN,Kenya,Sub-Saharan Africa,Lower middle income
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income
KHM,Cambodia,East Asia & Pacific,Lower middle income
KIR,Kiribati,East Asia & Pacific,Lower middle income
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income
KOR,"Korea, Rep.",East Asia & Pacific,High income
KWT,Kuwait,Middle East & North Africa,High income
LAO,Lao PDR,East Asia & Pacific,Lower middle income
